dataset,record_id,source_row_number,code,severity,field,message,raw_value,affects_metrics,recommended_action
Deals,IMPORT-DEAL-F076154C184E,2,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_089',COMPANY089,False,
Deals,IMPORT-DEAL-F076154C184E,2,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-F076154C184E due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-0BBE9EE2868D,3,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_091',COMPANY091,False,
Deals,IMPORT-DEAL-0BBE9EE2868D,3,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-0BBE9EE2868D due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-0BBE9EE2868D,3,missing_probability,info,probability,Closure probability is missing (not imputed),nan,True,Provide win probability
Deals,IMPORT-DEAL-DE84DF555F3B,4,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_124',COMPANY124,False,
Deals,IMPORT-DEAL-DE84DF555F3B,4,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-DE84DF555F3B due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-D1B65447B798,5,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_046',COMPANY046,False,
Deals,IMPORT-DEAL-D1B65447B798,5,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-D1B65447B798 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-612709DCFBC9,6,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_148',COMPANY148,False,
Deals,IMPORT-DEAL-612709DCFBC9,6,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-612709DCFBC9 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-A692612ECC84,7,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_047',COMPANY047,False,
Deals,IMPORT-DEAL-A692612ECC84,7,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-A692612ECC84 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-7A0B0414EA0C,8,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_197',COMPANY197,False,
Deals,IMPORT-DEAL-7A0B0414EA0C,8,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-7A0B0414EA0C due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-2B7A2BE7F4BC,9,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_177',COMPANY177,False,
Deals,IMPORT-DEAL-2B7A2BE7F4BC,9,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-2B7A2BE7F4BC due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-2B7A2BE7F4BC,9,missing_deal_value,info,deal_value,Deal value is missing,nan,True,Provide estimated deal value
Deals,IMPORT-DEAL-74ECDB95920B,10,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_094',COMPANY094,False,
Deals,IMPORT-DEAL-74ECDB95920B,10,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-74ECDB95920B due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-74ECDB95920B,10,missing_deal_value,info,deal_value,Deal value is missing,nan,True,Provide estimated deal value
Deals,IMPORT-DEAL-E04B6D9A9F63,11,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_178',COMPANY178,False,
Deals,IMPORT-DEAL-E04B6D9A9F63,11,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-E04B6D9A9F63 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-E04B6D9A9F63,11,missing_deal_value,info,deal_value,Deal value is missing,nan,True,Provide estimated deal value
Deals,IMPORT-DEAL-E8A9B654ED92,12,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_149',COMPANY149,False,
Deals,IMPORT-DEAL-E8A9B654ED92,12,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-E8A9B654ED92 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-3BEEE81B34E5,13,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_149',COMPANY149,False,
Deals,IMPORT-DEAL-3BEEE81B34E5,13,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-3BEEE81B34E5 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-E050BD82A9FE,14,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_171',COMPANY171,False,
Deals,IMPORT-DEAL-E050BD82A9FE,14,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-E050BD82A9FE due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-477749779B06,15,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_111',COMPANY111,False,
Deals,IMPORT-DEAL-477749779B06,15,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-477749779B06 due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-B921FE8E954A,16,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_111',COMPANY111,False,
Deals,IMPORT-DEAL-B921FE8E954A,16,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-B921FE8E954A due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-B769FD8076CE,17,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_111',COMPANY111,False,
Deals,IMPORT-DEAL-B769FD8076CE,17,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-B769FD8076CE due to missing source primary key,,False,Maintain surrogate key for import tracking
Deals,IMPORT-DEAL-FC90B08094E1,18,customer_code_normalized,info,customer,Customer code normalized as 'COMPANY_149',COMPANY149,False,
Deals,IMPORT-DEAL-FC90B08094E1,18,synthetic_deal_id,info,deal_id,Assigned surrogate import key IMPORT-DEAL-FC90B08094E1 due to missing source primary key,,False,Maintain surrogate key for import tracking
