Import Deal ID,Deal Name,Customer Code,Sector,Deal Stage,Deal Status,Deal Value,Win Probability,Tentative Close Date,Tentative Close Period,Actual Close Date,Deal Owner,Created Date,Product or Service,Data Quality Severity,Data Quality Issues,Source Row Number
IMPORT-DEAL-F076154C184E,Naruto,COMPANY_089,Mining,Sales Qualified Lead,Open,489360.0,0.8,2026-02-26,,,OWNER_001,2025-12-26,Service + Spectra,info,[customer_code_normalized] Customer code normalized as 'COMPANY_089' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-F076154C184E due to missing source primary key,2
IMPORT-DEAL-0BBE9EE2868D,Sasuke,COMPANY_091,Mining,Sales Qualified Lead,Open,17616960.0,,2026-02-28,,,OWNER_001,2025-09-15,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_091' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-0BBE9EE2868D due to missing source primary key | [missing_probability] Closure probability is missing (not imputed),3
IMPORT-DEAL-DE84DF555F3B,Sasuke,COMPANY_124,Powerline,Proposal Sent,Open,611700.0,0.5,2026-02-26,,,OWNER_002,2025-11-12,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_124' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-DE84DF555F3B due to missing source primary key,4
IMPORT-DEAL-D1B65447B798,Sakura,COMPANY_046,Powerline,Proposal Sent,Open,2348928.0,0.2,2026-03-20,,,OWNER_002,2025-10-14,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_046' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-D1B65447B798 due to missing source primary key,5
IMPORT-DEAL-612709DCFBC9,Sakura,COMPANY_148,Powerline,Proposal Sent,Open,428190.0,0.8,2026-02-26,,,OWNER_002,2025-10-10,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_148' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-612709DCFBC9 due to missing source primary key,6
IMPORT-DEAL-A692612ECC84,Sakura,COMPANY_047,Powerline,Proposal Sent,Open,2936160.0,0.5,2026-02-12,,,OWNER_002,2025-07-07,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_047' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-A692612ECC84 due to missing source primary key,7
IMPORT-DEAL-7A0B0414EA0C,Sakura,COMPANY_197,Tenders,Feasibility,Open,305850000.0,0.2,2024-09-30,,,OWNER_003,2024-08-30,Pure Service,info,[customer_code_normalized] Customer code normalized as 'COMPANY_197' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-7A0B0414EA0C due to missing source primary key,8
IMPORT-DEAL-2B7A2BE7F4BC,Sakura,COMPANY_177,Powerline,Project On Hold,On Hold,,0.5,2025-06-11,,,OWNER_001,2024-11-17,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_177' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-2B7A2BE7F4BC due to missing source primary key | [missing_deal_value] Deal value is missing,9
IMPORT-DEAL-74ECDB95920B,Sakura,COMPANY_094,Renewables,Project On Hold,Open,,0.5,2025-06-12,,,OWNER_001,2024-11-17,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_094' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-74ECDB95920B due to missing source primary key | [missing_deal_value] Deal value is missing,10
IMPORT-DEAL-E04B6D9A9F63,Sakura,COMPANY_178,Renewables,Project On Hold,On Hold,,0.5,2025-06-23,,,OWNER_001,2024-08-09,,info,[customer_code_normalized] Customer code normalized as 'COMPANY_178' | [synthetic_deal_id] Assigned surrogate import key IMPORT-DEAL-E04B6D9A9F63 due to missing source primary key | [missing_deal_value] Deal value is missing,11
