source_row_number,reason,raw_values
52,Repeated embedded header row,"{'Deal Name': 'Nezuko', 'Owner code': 'nan', 'Client Code': 'nan', 'Deal Status': 'Deal Status', 'Close Date (A)': 'Close Date (A)', 'Closure Probability': 'Closure Probability', 'Masked Deal value': 'nan', 'Tentative Close Date': 'Tentative Close Date', 'Deal Stage': 'Deal Stage', 'Product deal': 'Product deal', 'Sector/service': 'Sector/service', 'Created Date': 'Created Date'}"
181,Repeated embedded header row,"{'Deal Name': 'Bugs Bunny', 'Owner code': 'nan', 'Client Code': 'nan', 'Deal Status': 'Deal Status', 'Close Date (A)': 'Close Date (A)', 'Closure Probability': 'Closure Probability', 'Masked Deal value': 'nan', 'Tentative Close Date': 'Tentative Close Date', 'Deal Stage': 'Deal Stage', 'Product deal': 'Product deal', 'Sector/service': 'Sector/service', 'Created Date': 'Created Date'}"
185,Exact duplicate business record,"{'Deal Name': 'Bugs Bunny', 'Owner code': 'OWNER_001', 'Client Code': 'COMPANY137', 'Deal Status': 'Won', 'Close Date (A)': 'nan', 'Closure Probability': 'nan', 'Masked Deal value': 'nan', 'Tentative Close Date': 'nan', 'Deal Stage': 'A. Lead Generated', 'Product deal': 'nan', 'Sector/service': 'Mining', 'Created Date': '2025-11-27 00:00:00'}"
187,Exact duplicate business record,"{'Deal Name': 'Scooby-Doo', 'Owner code': 'OWNER_001', 'Client Code': 'COMPANY137', 'Deal Status': 'Won', 'Close Date (A)': 'nan', 'Closure Probability': 'nan', 'Masked Deal value': 'nan', 'Tentative Close Date': 'nan', 'Deal Stage': 'A. Lead Generated', 'Product deal': 'nan', 'Sector/service': 'Mining', 'Created Date': '2025-11-27 00:00:00'}"
189,Exact duplicate business record,"{'Deal Name': 'Scooby-Doo', 'Owner code': 'OWNER_001', 'Client Code': 'COMPANY024', 'Deal Status': 'Won', 'Close Date (A)': 'nan', 'Closure Probability': 'nan', 'Masked Deal value': 'nan', 'Tentative Close Date': 'nan', 'Deal Stage': 'A. Lead Generated', 'Product deal': 'nan', 'Sector/service': 'Mining', 'Created Date': '2025-11-27 00:00:00'}"
190,Exact duplicate business record,"{'Deal Name': 'Scooby-Doo', 'Owner code': 'OWNER_001', 'Client Code': 'COMPANY024', 'Deal Status': 'Won', 'Close Date (A)': 'nan', 'Closure Probability': 'nan', 'Masked Deal value': 'nan', 'Tentative Close Date': 'nan', 'Deal Stage': 'A. Lead Generated', 'Product deal': 'nan', 'Sector/service': 'Mining', 'Created Date': '2025-11-27 00:00:00'}"
205,Exact duplicate business record,"{'Deal Name': 'Stewie Griffin', 'Owner code': 'OWNER_001', 'Client Code': 'COMPANY076', 'Deal Status': 'Won', 'Close Date (A)': 'nan', 'Closure Probability': 'nan', 'Masked Deal value': 'nan', 'Tentative Close Date': 'nan', 'Deal Stage': 'A. Lead Generated', 'Product deal': 'nan', 'Sector/service': 'Mining', 'Created Date': '2025-11-27 00:00:00'}"
206,Exact duplicate business record,"{'Deal Name': 'Stewie Griffin', 'Owner code': 'OWNER_001', 'Client Code': 'COMPANY076', 'Deal Status': 'Won', 'Close Date (A)': 'nan', 'Closure Probability': 'nan', 'Masked Deal value': 'nan', 'Tentative Close Date': 'nan', 'Deal Stage': 'A. Lead Generated', 'Product deal': 'nan', 'Sector/service': 'Mining', 'Created Date': '2025-11-27 00:00:00'}"
207,Exact duplicate business record,"{'Deal Name': 'Stewie Griffin', 'Owner code': 'OWNER_001', 'Client Code': 'COMPANY076', 'Deal Status': 'Won', 'Close Date (A)': 'nan', 'Closure Probability': 'nan', 'Masked Deal value': 'nan', 'Tentative Close Date': 'nan', 'Deal Stage': 'A. Lead Generated', 'Product deal': 'nan', 'Sector/service': 'Mining', 'Created Date': '2025-11-27 00:00:00'}"
208,Exact duplicate business record,"{'Deal Name': 'Stewie Griffin', 'Owner code': 'OWNER_001', 'Client Code': 'COMPANY076', 'Deal Status': 'Won', 'Close Date (A)': 'nan', 'Closure Probability': 'nan', 'Masked Deal value': 'nan', 'Tentative Close Date': 'nan', 'Deal Stage': 'A. Lead Generated', 'Product deal': 'nan', 'Sector/service': 'Mining', 'Created Date': '2025-11-27 00:00:00'}"
212,Exact duplicate business record,"{'Deal Name': 'Stewie Griffin', 'Owner code': 'OWNER_001', 'Client Code': 'COMPANY169', 'Deal Status': 'Won', 'Close Date (A)': 'nan', 'Closure Probability': 'High', 'Masked Deal value': 'nan', 'Tentative Close Date': 'nan', 'Deal Stage': 'A. Lead Generated', 'Product deal': 'nan', 'Sector/service': 'Renewables', 'Created Date': '2025-11-27 00:00:00'}"
238,Exact duplicate business record,"{'Deal Name': 'Ben Tennyson', 'Owner code': 'OWNER_003', 'Client Code': 'COMPANY113', 'Deal Status': 'Won', 'Close Date (A)': 'nan', 'Closure Probability': 'nan', 'Masked Deal value': 'nan', 'Tentative Close Date': 'nan', 'Deal Stage': 'A. Lead Generated', 'Product deal': 'nan', 'Sector/service': 'Mining', 'Created Date': '2025-11-27 00:00:00'}"
248,Exact duplicate business record,"{'Deal Name': 'Mojo Jojo', 'Owner code': 'OWNER_003', 'Client Code': 'COMPANY151', 'Deal Status': 'Won', 'Close Date (A)': 'nan', 'Closure Probability': 'nan', 'Masked Deal value': 'nan', 'Tentative Close Date': 'nan', 'Deal Stage': 'A. Lead Generated', 'Product deal': 'nan', 'Sector/service': 'Railways', 'Created Date': '2025-11-27 00:00:00'}"
260,Exact duplicate business record,"{'Deal Name': 'Appa', 'Owner code': 'OWNER_003', 'Client Code': 'COMPANY133', 'Deal Status': 'Won', 'Close Date (A)': 'nan', 'Closure Probability': 'nan', 'Masked Deal value': 'nan', 'Tentative Close Date': '2024-09-30 00:00:00', 'Deal Stage': 'Project Completed', 'Product deal': 'Pure Service', 'Sector/service': 'Renewables', 'Created Date': '2024-08-30 00:00:00'}"
