Work Order ID,Work Order Name,Deal Reference (Unavailable),Customer Code,Sector,Nature of Work,Execution Status,Contract Value Excl Tax,Contract Value Incl Tax,Implied Tax Rate,Probable Start Date,Probable End Date,Completion Date,Invoice Status,Billing Status,Owner,Data Quality Severity,Data Quality Issues,Source Row Number
SDPLDEAL-075,Scooby-Doo,,COMPANY_002,Mining,One time Project,Completed,264398.08,311989.7344,0.18,2025-05-31,2025-06-03,2025-09-27,,Update Required,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',3
SDPLDEAL-101,Appa,,COMPANY_038,Powerline,Proof of Concept,Not Started,154150.0,181897.0,0.18,2025-08-11,2025-08-15,,,,OWNER_002,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_038',4
SDPLDEAL-002,Sakura,,COMPANY_002,Mining,Monthly Contract,Executed Current Month,2984097.3600000003,3521234.8848,0.18,2025-05-01,2026-04-30,2025-12-31,,Partially Billed,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',5
SDPLDEAL-003,Sakura,,COMPANY_002,Mining,One time Project,Completed,184980.0,218276.40000000002,0.18,2025-05-20,2025-05-31,,Not Billed,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',6
SDPLDEAL-004,SpongeBob,,COMPANY_032,Powerline,One time Project,Completed,1132250.2480000001,1336055.29264,0.18,2025-05-24,2025-06-20,,,Billed,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_032',7
SDPLDEAL-005,Edward Elric,,COMPANY_008,Renewables,One time Project,Completed,135652.0,160069.36000000002,0.18,2025-05-20,2025-05-31,,Fully Billed,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_008',8
SDPLDEAL-001,Pumbaa,,COMPANY_047,Renewables,Annual Rate Contract,Ongoing,3995568.0000000005,4714770.24,0.18,2025-05-19,2025-11-19,,Partially Billed,,OWNER_005,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_047',9
SDPLDEAL-006,Sakura,,COMPANY_002,Mining,Monthly Contract,Executed Current Month,727588.0,858553.8400000001,0.18,2025-05-01,2026-04-30,,Partially Billed,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',10
SDPLDEAL-007,Sakura,,COMPANY_002,Mining,Monthly Contract,Executed Current Month,2293752.0,2706627.3600000003,0.18,2025-05-20,2026-04-30,,Partially Billed,,OWNER_003,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_002',11
SDPLDEAL-008,Alias_160,,COMPANY_051,Mining,One time Project,Completed,126649.64000000001,149446.57520000002,0.18,2025-04-20,2025-05-31,2025-05-28,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',12
SDPLDEAL-009,Alias_160,,COMPANY_051,Mining,One time Project,Completed,1198053.8,1413703.4840000002,0.18,2025-04-15,2025-05-31,2025-05-30,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',13
SDPLDEAL-010,Alias_160,,COMPANY_051,Mining,One time Project,Completed,112652.82,132930.32760000002,0.18,2025-04-14,2025-05-31,2025-06-10,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',14
SDPLDEAL-011,Alias_160,,COMPANY_051,Mining,One time Project,Completed,643730.4,759601.8720000001,0.18,2025-04-10,2025-05-31,2025-05-20,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',15
SDPLDEAL-012,Alias_160,,COMPANY_051,Mining,One time Project,Completed,770750.0,909485.0,0.18,2025-04-14,2025-06-16,2025-06-17,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',16
SDPLDEAL-013,Alias_160,,COMPANY_051,Mining,One time Project,Completed,214576.80000000002,253200.624,0.18,2025-04-15,2025-05-31,2025-05-13,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',17
SDPLDEAL-014,Alias_160,,COMPANY_051,Mining,One time Project,Completed,250339.6,295400.728,0.18,2025-04-09,2025-06-20,2025-05-30,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',18
SDPLDEAL-015,Alias_160,,COMPANY_051,Mining,One time Project,Completed,109791.796,129554.31928,0.18,2025-04-22,2025-06-20,2025-05-03,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',19
SDPLDEAL-016,Alias_160,,COMPANY_051,Mining,One time Project,Completed,210799.50840000002,248743.419912,0.18,2025-04-25,2025-06-13,2025-05-06,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',20
SDPLDEAL-017,Alias_160,,COMPANY_051,Mining,One time Project,Completed,62584.9,73850.182,0.18,2025-04-25,2025-05-31,2025-05-13,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',21
SDPLDEAL-018,Alias_160,,COMPANY_051,Mining,One time Project,Completed,260360.58320000002,307225.488176,0.18,2025-04-28,2025-05-31,2025-05-06,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',22
SDPLDEAL-019,Alias_160,,COMPANY_051,Mining,One time Project,Completed,157535.13400000002,185891.45812000002,0.18,2025-05-01,2025-05-30,2025-06-14,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',23
SDPLDEAL-020,Alias_160,,COMPANY_051,Mining,One time Project,Completed,227987.85,269025.663,0.18,2025-05-02,2025-05-30,2025-06-03,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',24
SDPLDEAL-021,Mojo Jojo,,COMPANY_036,Mining,One time Project,Completed,151275.4108,178504.98474400002,0.18,2025-05-01,2025-05-31,2025-06-24,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_036',25
SDPLDEAL-022,Mojo Jojo,,COMPANY_036,Mining,One time Project,Completed,1164911.55,1374595.6290000002,0.18,2025-05-01,2025-05-31,2025-05-07,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_036',26
SDPLDEAL-024,Mojo Jojo,,COMPANY_036,Mining,One time Project,Completed,371860.36120000004,438795.22621600004,0.18,2025-05-01,2025-05-31,2025-06-07,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_036',27
SDPLDEAL-023,Mojo Jojo,,COMPANY_036,Mining,One time Project,Completed,440190.74000000005,519425.07320000004,0.18,2025-05-01,2025-05-31,2025-06-24,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_036',28
SDPLDEAL-025,Alias_160,,COMPANY_051,Mining,One time Project,Completed,170274.09,200923.42620000002,0.18,2025-05-07,2025-06-15,2025-07-10,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_051',29
SDPLDEAL-026,Tanjiro,,COMPANY_005,Mining,One time Project,Completed,183130.2,216093.636,0.18,2025-05-01,2025-05-30,2025-06-11,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_005',30
SDPLDEAL-027,Tanjiro,,COMPANY_005,Mining,One time Project,Completed,937848.6000000001,1106661.348,0.18,2025-05-01,2025-05-30,2025-06-16,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_005',31
SDPLDEAL-028,Tanjiro,,COMPANY_005,Mining,One time Project,Completed,355161.60000000003,419090.688,0.18,2025-05-01,2025-05-30,2025-06-16,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_005',32
SDPLDEAL-029,Tanjiro,,COMPANY_005,Mining,One time Project,Completed,358830.86328000005,423420.41867040005,0.18,2025-05-01,2025-05-30,2025-06-13,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_005',33
SDPLDEAL-030,Armin,,COMPANY_020,Mining,One time Project,Completed,135488.711988,159876.68014584002,0.18,2025-04-15,2025-05-30,2025-05-09,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_020',34
SDPLDEAL-031,Armin,,COMPANY_020,Mining,One time Project,Completed,236813.8624,279440.357632,0.18,2025-04-15,2025-05-30,2025-05-09,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_020',35
SDPLDEAL-032,Armin,,COMPANY_020,Mining,One time Project,Completed,382095.92120000004,450873.18701600004,0.18,2025-04-15,2025-05-30,2025-05-09,Fully Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_020',36
SDPLDEAL-033,Jessie,,COMPANY_043,Mining,Annual Rate Contract,Completed,755939.268,892008.33624,0.18,2025-04-21,2025-05-31,2025-06-15,Partially Billed,,OWNER_001,info,[no_source_deal_reference] deal_reference remains null (no verified deal lookup in raw file) | [customer_code_normalized] Customer code normalized as 'COMPANY_043',37
